nitiji,kennsuu,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:30,19:00,23:59
2018/03/25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/03/26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/03/27,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018/03/28,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018/03/29,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018/03/30,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018/03/31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/04/01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/04/02,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2018/04/03,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/04/04,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/04/05,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018/04/06,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/04/07,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018/04/09,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/04/10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/04/11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/04/12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/04/13,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/04/14,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018/04/15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/04/16,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018/04/17,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/04/18,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018/04/19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/04/20,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018/04/21,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2018/04/22,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
